
2,22,16,30,5,(-1.0, 1.0),-0.3992263,3.008412,-0.06575131,0,-1,-1,5,22,16,30,4,(0.6, -1.0),0.2961183,1,2,3.164071,0,-1.995567
4,22,14,29.97642,5.188619,(-1.0, 1.0),-0.3992263,4.760038,-3.317794,-1.322826,-1,-3.028654,5,22,18,29.50328,1.857293,(-1.0, 1.0),-0.7773728,6.110224,2,2.316874,0.5647105,-0.5920658
4,22,12,29.95285,5.377237,(-1.0, 1.0),-0.3992263,6.511664,-6.569837,-2.645652,-1,-5.057307,5,22,16,29.65457,6.763405,(0.6, 2.4),3.736255,-2.699981,5.49552,3.164071,0.877192,-2.348577
4,22,10,29.92927,5.565856,(-1.0, 1.0),-0.3992263,8.26329,-9.821879,-3.968478,-1,-7.085961,5.1,22,16,29.65457,6.763405,(0.6, 2.4),3.736255,-2.699981,3.718147,5.970521,0.877192,-2.031702
4,24,16,23.72856,9.094901,(-0.7, -4.2),10.37691,-5.011282,0,3.666145,4.591036,-1,5.1,22,16,29.65457,6.763405,(0.6, 4.3),3.736255,-2.699981,3.718147,4.479856,-0.4670439,-4.253035
6,24,16,23.72856,9.094901,(-2.4, -4.2),7.561394,-5.011282,-1.159769,0.5229931,7.724327,-1,5.1,22,16,29.65457,6.763405,(0.6, 6.2),3.736255,-2.699981,3.718147,2.989191,-1.81128,-6.474367
10,24,16,20.68987,11.80273,(2.7, -3.7),13.19947,-5.333356,0,4.387054,4.591036,-1,5.1,22,16,29.65457,6.763405,(0.6, 8.1),3.736255,-2.699981,3.718147,1.498525,-3.155516,-8.6957
6,24,14,22.49753,9.28352,(-2.4, -4.2),7.561394,-3.259656,-4.411812,1.480164,6.390312,-3.028654,5.1,22,16,29.65457,6.763405,(0.6, 10.0),3.736255,-2.699981,3.718147,0.007859707,-4.499752,-10.91703
10,24,16,20.57525,12.71975,(1.0, -4.8),13.71849,-8.338997,-1.159769,1.243903,9.144543,-1,5.1,22,16,29.65457,6.763405,(0.6, 11.9),3.736255,-2.699981,3.718147,-1.482806,-5.843987,-13.13836
6,24,14,18.25139,11.99135,(2.7, -3.7),13.19947,-3.58173,-3.252043,7.624222,1.923006,-3.028654,5.1,22,16,29.65457,6.763405,(0.6, 13.8),3.736255,-2.699981,3.718147,-2.973471,-7.188223,-15.3597
